"cell_id","UMAP_1","UMAP_2","label1","label2","label3"
"32026",-9.1095479794636,-3.5183852346279,"Neuron","CHO/PEP","CHO/PEP"
"32027",-11.6161598034992,10.4626633493565,"Non_Neuron","VAS","VLMC"
"32028",-5.00587213717844,-1.9802866609432,"Non_Neuron","AC","AC3"
"32029",-8.9393876858845,-3.83767229631918,"Neuron","CHO/PEP","CHO/PEP"
"32030",-12.8076747723713,10.0156981317661,"Non_Neuron","VAS","VLMC"
"32031",-8.87763822757151,-3.85249120310324,"Neuron","CHO/PEP","CHO/PEP"
"32032",-11.8166564770832,10.6133782236241,"Non_Neuron","VAS","VLMC"
"32033",-6.04701460086252,5.70899504109842,"Non_Neuron","VAS","Peri/VEC"
"32034",-11.6871579953327,10.6398274271153,"Non_Neuron","VAS","VLMC"
"32035",-11.4453443356648,10.6936117975376,"Non_Neuron","VAS","VLMC"
"32036",-2.30292869292643,2.56967419072611,"Non_Neuron","OPC","OPC"
"32037",0.0613892010555056,2.37076943799478,"Non_Neuron","AC","AC3"
"32038",0.760218494306543,2.71020167752726,"Non_Neuron","AC","AC2"
"32039",-0.203815407384894,3.48765295430643,"Non_Neuron","AC","AC3"
"32040",-8.81409586154368,-3.96918279245871,"Neuron","CHO/PEP","CHO/PEP"
"32041",-8.81547773562815,-3.94869286135214,"Neuron","CHO/PEP","CHO/PEP"
"32042",-13.2755092450276,9.61942261144144,"Mix","Mix","Mix"
"32043",-12.6484416791096,9.81809967442972,"Mix","Mix","Mix"
"32044",-8.51706875049021,-3.98565537050741,"Neuron","CHO/PEP","CHO/PEP"
"32045",-8.44126308642771,-4.00868565157431,"Neuron","CHO/PEP","CHO/PEP"
"32046",-8.61696756564524,-3.94464069918173,"Neuron","CHO/PEP","CHO/PEP"
"32047",-5.00020397387888,-3.94653231218832,"Neuron","TEPN","TEGLU L5/6"
"32048",-8.47040975772288,-4.03848582819479,"Neuron","CHO/PEP","CHO/PEP"
"32049",-8.84128702365305,-3.78259641245382,"Neuron","CHO/PEP","CHO/PEP"
"32050",-7.33389938556101,-3.90987760141867,"Neuron","CHO/PEP","CHO/PEP"
"32051",-13.3548120328083,9.64139526769144,"Non_Neuron","VAS","VLMC"
"32052",-9.07430780612376,-3.62512570932882,"Neuron","CHO/PEP","CHO/PEP"
"32053",-9.02300871096995,-3.69866735056418,"Neuron","CHO/PEP","CHO/PEP"
"32054",-8.29535425387766,-3.66052800730246,"Neuron","CHO/PEP","CHO/PEP"
"32055",-10.0186961957112,10.9617926447056,"Non_Neuron","VAS","VLMC"
"32056",-8.91030252658274,-3.86007219866293,"Neuron","CHO/PEP","CHO/PEP"
"32057",-8.78329885684397,-3.84056288317221,"Neuron","CHO/PEP","CHO/PEP"
"32058",-8.83432234012034,-3.85866052225607,"Neuron","CHO/PEP","CHO/PEP"
"32059",-8.11745727740671,-3.86041432932394,"Neuron","CHO/PEP","CHO/PEP"
"32060",-8.76794374667551,-3.89971047953146,"Neuron","CHO/PEP","CHO/PEP"
